cls,norm_cs
VESICULAR_MONOAMINE_TRANSPORTER_INHIBITOR,0.7124
STEROL_DEMETHYLASE_INHIBITOR,0.7172499999999999
ANTIAMYLOIDOGENIC_AGENT,0.7199
MONOAMINE_OXIDASE_INHIBITOR,0.737
TRPV_AGONIST,0.7384
FARNESYLTRANSFERASE_INHIBITOR,0.7440500000000001
PKC_INHIBITOR,0.7479
TACHYKININ_ANTAGONIST,0.7496
BCL_INHIBITOR,0.7545
PIM_KINASE_INHIBITOR,0.75945
DNA_SYNTHESIS_INHIBITOR,0.7617
MEMBRANE_PERMEABILITY_INHIBITOR,0.7664
GAP_JUNCTION_MODULATOR,0.76985
LEUKOTRIENE_RECEPTOR_ANTAGONIST,0.7702
ANTICANCER_AGENT,0.7714
HISTAMINE_RECEPTOR_ANTAGONIST,0.7733000000000001
ALK_TYROSINE_KINASE_RECEPTOR_INHIBITOR,0.7773
MEMBRANE_INTEGRITY_INHIBITOR,0.7779
OPIOID_RECEPTOR_AGONIST,0.7781
BCR-ABL_KINASE_INHIBITOR,0.7887
CALMODULIN_ANTAGONIST,0.7891
ABL_KINASE_INHIBITOR,0.7944
DIHYDROOROTATE_DEHYDROGENASE_INHIBITOR,0.7951999999999999
TP53_ACTIVATOR,0.7985
GLUTAMATE_INHIBITOR,0.8035000000000001
PDGFR_TYROSINE_KINASE_RECEPTOR_INHIBITOR,0.8186
FAAH_INHIBITOR,0.8315
ANGIOGENESIS_INHIBITOR,0.83675
AMPK_ACTIVATOR,0.8432999999999999
KINESIN_INHIBITOR,0.8455
HISTONE_ACETYLTRANSFERASE_INHIBITOR,0.8538
CASPASE_ACTIVATOR,0.86665
MITOCHONDRIAL_COMPLEX_I_INHIBITOR,0.8694
WNT_SIGNALING_INHIBITOR,0.8694
P-GLYCOPROTEIN_INHIBITOR,0.87
P38_MAPK_INHIBITOR,0.8734
ISOCITRATE_DEHYDROGENASE_INHIBITOR,0.874
ACETYLCHOLINESTERASE_INHIBITOR,0.878
LIPOXYGENASE_INHIBITOR,0.88125
GUANYLYL_CYCLASE_INHIBITOR,0.8853
PKC_ACTIVATOR,0.8906
