,pearson_r
ZDHHC16,0.5242572618430852
C10orf55,0.5236938543346392
DDAH2,0.5236139336969104
TRIM11,0.523534963791569
FAM86DP,0.5234656577434722
MARVELD1,0.5232549000245854
PIP5KL1,0.5231894413603221
NR2C2AP,0.5224639868565529
RPS27L,0.5223124330015492
ANKRD13D,0.5220502400108078
ST14,0.5218997529306654
FAM178B,0.521857369345296
IMPDH1,0.5216214173379338
TNFRSF10B,0.5209540855236875
CBR3,0.5209191987206753
GOLT1A,0.5207526516283936
PLCD3,0.5207092892139851
EVA1C,0.5202745002035153
CD63,0.5201912754337328
RTKN,0.5200261154922229
VWCE,0.5194767284032976
EVA1A,0.5194578143930308
CYTOR,0.5194576855421206
GUK1,0.5191094957152157
TIMM29,0.5187014999891952
GRHL3,0.5182910745056819
PPP1R14BP3,0.518148015572138
TBC1D2,0.5179325301573215
HMGA1,0.5178349180721586
RUNX1,0.5172879656688099
MBOAT7,0.5170627096232887
TAF10,0.5166236040406492
RHOV,0.5161467186774202
TMEM134,0.5153912125573938
GSN,0.5144905488166559
MST1R,0.5140835127317886
CLDN1,0.5139400831756611
TMEM105,0.5135327075157765
NFKB2,0.5133886999364949
MDK,0.5128934326956176
GPR153,0.5126696502871133
RARG,0.512559196702476
CNFN,0.5116381278266272
TGFB1I1,0.5115672658308196
IER5L,0.511250128140344
MGAT4B,0.5112496924304517
RPL8,0.5110680196915892
CAVIN1,0.5110335838502615
CFL1,0.510608555712472
FAM20A,0.5105694132985912
IFITM10,0.5104395020857012
SNHG12,0.5097132368053052
ALOX15B,0.5093538148284258
RRP9,0.5090629663133767
FKBP8,0.50883685712203
HES2,0.5083907846854082
TMEM79,0.5082746105232823
FPGS,0.5081679277055685
CST3,0.5078705987737002
RPS20,0.5078518231054286
PERP,0.5077329451569931
MAP3K6,0.5075014704977058
PPP1R13L,0.5072401146341687
MCUB,0.5070660619660997
LYPLA2,0.5060543674595341
STAP2,0.5060079735449103
SCNM1,0.5054356371218786
RPL13AP20,0.5053616740507888
PSMB8,0.5047913525544999
LZTS2,0.5047521914641039
WTIP,0.5044064187901292
VAMP8,0.5037635428074267
TUBA1A,0.5036287647222472
CDKN1A,0.5032612142631673
TXN,0.502524666603436
CTDNEP1,0.5022210954114094
PRKAR1B,0.5017888719362561
PTP4A3,0.5013282947935009
TRMT112,0.5010843154135071
CDCA4,0.5004724291978717
FAM20C,0.5004568192451687
CDC34,0.5003916806421798
SREBF1,0.5002808093159831
TLCD1,0.5002359528197503
BAIAP2,0.5001125504642678
ETV4,0.49977070635390447
IGSF9,0.4996526430090808
CTTN,0.4988966331245715
IGFL2,0.49887861676865797
KCNS3,0.4988677917976013
PKM,0.49835329395769984
EMP2,0.49828452342842877
RHBDF1,0.4978040458469918
SNX21,0.4976015318528443
FBXO2,0.49733181470522003
PFDN2,0.497102992086221
PHYHIP,0.49674841859199365
UBE2I,0.49632808740660617
BEAN1,0.4958172534828657
LINC01770,0.49569997136456
CNIH4,0.4950878837205127
TNFRSF10C,0.49497389570839745
STX4,0.4943691815753728
DBNDD1,0.49431227126109306
CLTA,0.4935939684812575
EIF6,0.4934843745368814
LPCAT4,0.4933419950462579
TMEM54,0.4930156502057853
CAPNS1,0.49291270330561726
HDGFL2,0.49282294444046026
STRA6,0.4928064831693142
FUT3,0.4926757235796846
PDLIM7,0.4916918194920813
S100A13,0.49114042348402703
REEP2,0.491030099946423
LYNX1,0.49096746153501275
EFNA4,0.49079680329006464
ACP5,0.49040467771348306
YPEL3,0.48992345537685383
GSTP1,0.4898447925839266
GNA15,0.4897697886794146
ZMAT3,0.48972658293672167
TM7SF3-AS1,0.4892791909804731
RPL22L1,0.4890197332976537
SERINC2,0.48870956472438654
SLC25A37,0.4883205718475437
MACC1,0.4881823835457819
RPL12,0.4880675345084321
GAS6,0.48792565450887365
PAOX,0.48779004208112553
ELMO3,0.4875099679784782
SSH3,0.4870115066973089
TMEM53,0.4867046009236239
CCNA1,0.4856464783366194
MAPKAPK3,0.4855671246732168
CD58,0.4855151044109865
YBX3,0.48521701758207897
ARPC1B,0.4851324421362486
FSTL3,0.4850328850863152
CTSH,0.4845440944557063
PSMB4,0.48450605054906365
FADS3,0.4842738972946955
NPC2,0.48422177441590003
CDC25B,0.48402536683463193
FLOT1,0.483945594647023
ATIC,0.48332318462917606
MUC20,0.4829023220697794
SMIM1,0.48279933007412057
RHOD,0.482647398317852
STBD1,0.48231599564218
ARPC5L,0.48198804929142447
PDLIM1,0.4819091561656326
DOK4,0.4818293985053455
C15orf62,0.48170053914367966
IRF3,0.48167218597678374
LCN2,0.48155188368284946
ST6GALNAC5,0.4814752174968794
MYL12B,0.48136888324253313
