sample,PHLDA3,study,stype,site,disease
TCGA-FY-A3TY-01,10.94,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-T5JC-1526-SM-4DM68,8.177,GTEX,Normal Tissue,Kidney,Kidney - Cortex
GTEX-Q2AI-1726-SM-2S1PZ,10.86,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-FG-6691-01,7.739,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-X4LF-0126-SM-4QAS7,10.46,GTEX,Normal Tissue,Adrenal Gland,Adrenal Gland
GTEX-13NYB-1726-SM-5N9G2,8.723,GTEX,Normal Tissue,Kidney,Kidney - Cortex
GTEX-13N2G-1826-SM-5KM1I,11.49,GTEX,Normal Tissue,Prostate,Prostate
TCGA-BH-A0HU-01,10.32,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-1497J-0126-SM-5Q5BK,10.29,GTEX,Normal Tissue,Thyroid,Thyroid
TCGA-DU-5849-01,10.48,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-BR-6454-11,10.28,TCGA,Solid Tissue Normal,Stomach,Stomach Adenocarcinoma
TARGET-20-PABLDZ-09,7.959,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
GTEX-QCQG-0006-SM-5SI8M,5.84,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-DD-A1EE-01,9.416,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-Q734-0826-SM-48U1G,11.86,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-77-A5GH-01,12.62,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-EB-A3XC-01,11.71,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
GTEX-12WSM-0011-R7b-SM-5EGLD,10.92,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
GTEX-YFC4-0011-R5a-SM-4RGLR,10.23,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
GTEX-13CF2-1826-SM-5N9GK,12.99,GTEX,Normal Tissue,Colon,Colon - Sigmoid
TCGA-KK-A8IF-01,10.52,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-11P7K-2126-SM-5GU7G,11.5,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-X7-A8D6-11,11.59,TCGA,Solid Tissue Normal,Thymus,Thymoma
TCGA-4Z-AA83-01,13.11,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-18-5592-01,13.03,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-13SLX-0011-R5a-SM-5O9BV,10.75,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
GTEX-RVPU-1526-SM-47JXQ,10.7,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-S32W-0726-SM-2XCBL,10.29,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-WRHK-1626-SM-3MJFH,11.27,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TARGET-20-PASTTW-09,6.159,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-34-8454-01,11.78,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-3E-AAAZ-01,12.12,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-BP-4163-01,10.62,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-Z9EW-0126-SM-5CVM6,11.59,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-CV-6951-01,11.76,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-13OW8-1726-SM-5L3GO,10.92,GTEX,Normal Tissue,Lung,Lung
GTEX-Y5LM-1426-SM-5RQJL,12.08,GTEX,Normal Tissue,Colon,Colon - Sigmoid
GTEX-14E6D-0005-SM-5N9D7,4.998,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-AR-A252-01,9.758,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-13CF2-2826-SM-5LZX9,12.85,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TARGET-30-PASZKE-01,10.95,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
TCGA-CJ-4920-01,11.58,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-XU-A932-01,12.89,TCGA,Primary Tumor,Thymus,Thymoma
GTEX-RNOR-0005-SM-2TF4Z,5.728,GTEX,Normal Tissue,Blood,Whole Blood
GTEX-R55E-0126-SM-2TC5Y,11.49,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-05-4434-01,11.24,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-139UC-3126-SM-5J1OY,10.99,GTEX,Normal Tissue,Brain,Brain - Cortex
GTEX-WFON-2226-SM-3TW8W,11.71,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-P4PP-1626-SM-2HMJF,12.48,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-EL-A3H8-01,10.95,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-117YW-0008-SM-5QGRD,11.08,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
GTEX-P44H-0008-SM-48TDW,12.75,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-E8-A414-01,11.28,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-ZF-AA5N-01,12.71,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-BR-6457-11,9.914,TCGA,Solid Tissue Normal,Stomach,Stomach Adenocarcinoma
GTEX-ZT9W-1726-SM-51MS3,12.67,GTEX,Normal Tissue,Colon,Colon - Sigmoid
GTEX-11GSP-0011-R10a-SM-5NQ7J,10.49,GTEX,Normal Tissue,Brain,Brain - Frontal Cortex (Ba9)
TCGA-AA-A02K-01,8.159,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-63-7021-01,11.83,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-ZEX8-0008-SM-4E3JU,11.48,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-23-1114-01,12.03,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-85-7698-01,11.13,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-ZF28-0011-R8a-SM-4WWFW,11.29,GTEX,Normal Tissue,Brain,Brain - Hypothalamus
TCGA-23-1109-01,10.95,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-DU-6406-01,11.19,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-SO-A8JP-01,14.24,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
GTEX-13FTZ-0726-SM-5IFFY,9.103,GTEX,Normal Tissue,Liver,Liver
GTEX-11VI4-1126-SM-5EQMD,10.93,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-IB-AAUT-01,11.28,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-B0-4821-01,12.76,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-11NUK-1426-SM-5HL68,12.31,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-FR-A8YC-06,12.99,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TARGET-20-PARGVC-03,6.685,TARGET,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
GTEX-13OVJ-0011-R2b-SM-5L3GP,11.24,GTEX,Normal Tissue,Brain,Brain - Substantia Nigra
TCGA-AR-A24L-01,10.64,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-D3-A5GR-06,11.66,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-QMR6-0011-R5A-SM-32PKT,10.55,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
TCGA-D7-8576-01,9.885,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-145MH-2926-SM-5Q5D2,9.009,GTEX,Normal Tissue,Brain,Brain - Cerebellum
GTEX-QDVN-2226-SM-2S1PM,12.65,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-11P82-1926-SM-5Q5AU,12.4,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-11I78-0626-SM-5A5LZ,10.04,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-24-1436-01,11.17,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-YL-A9WK-01,9.85,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TARGET-20-PANSJB-09,5.451,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-H4-A2HQ-01,12.1,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-145MO-1126-SM-5NQBX,10.46,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
TCGA-EJ-AB20-01,11.91,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-HU-8243-01,9.346,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-G2-A2EF-01,11.22,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TARGET-20-PARPWL-09,3.573,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TARGET-20-PADZCG-09,4.325,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
GTEX-X4EO-0326-SM-3P5YO,12.12,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-96-A4JK-01,10.1,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-HC-7736-01,10.07,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-WHWD-0526-SM-4OORW,11.95,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-DX-A8BK-01,12.46,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-12C56-0006-SM-5N9E9,5.256,GTEX,Normal Tissue,Blood,Whole Blood
TARGET-20-PADZCG-04,5.038,TARGET,Recurrent Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-55-8092-01,9.851,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-13O21-1826-SM-5MR5M,13.07,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TCGA-CR-7383-01,11.85,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-AK-3427-01,9.83,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-RNOR-1226-SM-48FDQ,11.88,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
GTEX-13111-1826-SM-5GCP1,11.7,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TARGET-20-PASPTM-09,4.704,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-WE-A8ZR-06,11.38,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-13113-0426-SM-5GCOD,9.946,GTEX,Normal Tissue,Lung,Lung
TCGA-4V-A9QS-01,12.86,TCGA,Primary Tumor,Thymus,Thymoma
TARGET-10-PANSIA-09,7.157,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
TCGA-DJ-A3VF-01,11.7,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TARGET-10-PAPEFH-04,3.477,TARGET,Recurrent Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
GTEX-13OW6-1826-SM-5N9F9,9.389,GTEX,Normal Tissue,Kidney,Kidney - Cortex
TCGA-66-2794-01,10.44,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-11WQK-3226-SM-5EGI3,10.49,GTEX,Normal Tissue,Pituitary,Pituitary
TCGA-36-1581-01,9.641,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-29-1776-01,11.88,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-CZ-5467-11,9.856,TCGA,Solid Tissue Normal,Kidney,Kidney Clear Cell Carcinoma
GTEX-13CF3-0226-SM-5J1NW,8.667,GTEX,Normal Tissue,Spleen,Spleen
TARGET-10-PAPEFH-09,6.565,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
TCGA-EL-A4KI-01,11.25,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-DD-A11A-11,7.218,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
TCGA-RW-A68F-01,12.31,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TCGA-BH-A18V-01,9.685,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-Z9EW-2026-SM-5CVMQ,13.33,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-NPJ8-0226-SM-48TBN,12.35,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-D3-A3ML-06,11.63,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-D5-6898-01,9.776,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
GTEX-RUSQ-0626-SM-2TF5V,10.44,GTEX,Normal Tissue,Lung,Lung
TCGA-YT-A95H-01,12.16,TCGA,Primary Tumor,Thymus,Thymoma
TCGA-EB-A44N-01,12.32,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
GTEX-13FLV-0926-SM-5L3DZ,10.54,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
TCGA-J9-A8CK-01,10.88,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-13-0727-01,12.05,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-AB-2935-03,5.984,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-LL-A5YN-01,11.1,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-12WSF-0011-R3a-SM-5DUW7,10.85,GTEX,Normal Tissue,Brain,Brain - Anterior Cingulate Cortex (Ba24)
TARGET-20-PAEFGT-03,5.579,TARGET,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-56-7222-01,10.8,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-B6-A0WY-01,11.37,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-11DXX-0326-SM-5PNWC,10.35,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-T5JC-2526-SM-4DM6G,9.242,GTEX,Normal Tissue,Pituitary,Pituitary
GTEX-X8HC-1626-SM-46MWE,11.14,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
TCGA-L9-A50W-01,11.36,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-XXEK-0626-SM-4BRWE,10.54,GTEX,Normal Tissue,Lung,Lung
GTEX-11DXZ-2626-SM-59882,11.58,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-ZE9C-0011-R2a-SM-4WKGH,12.55,GTEX,Normal Tissue,Brain,Brain - Substantia Nigra
TCGA-EW-A423-01,10.85,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-16-0846-01,10.6,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
TCGA-A6-2685-01,10.53,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
GTEX-X15G-0826-SM-4PQZD,12.19,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
TCGA-FE-A23A-01,12.33,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-BP-4756-01,10.66,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-22-5482-01,11.7,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-55-7281-01,12.47,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-24-1923-01,11.32,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-14BMU-2426-SM-5RQIJ,9.989,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-12WSD-0011-R7b-SM-5PNWE,10.27,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
GTEX-12WSC-0326-SM-5EQ5E,10.33,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-A3-3324-01,9.601,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-66-2800-01,10.54,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-12WSM-0626-SM-5GCOK,12.42,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TCGA-44-7661-01,10.57,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-MH-A55W-01,11.45,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-DX-A7EM-01,11.59,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-146FR-0526-SM-5Q5EX,11.18,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-CN-6013-01,12.0,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-ZDXO-0008-SM-4E3HR,11.46,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-A8-A096-01,10.5,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-CE-A485-01,11.17,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-VQ-A8P3-01,10.94,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-VR-A8EW-01,11.28,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-LN-A9FO-01,12.08,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-DU-6399-01,7.953,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-13VXU-0011-R7b-SM-5SI72,10.73,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
TCGA-EB-A24D-01,12.01,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
GTEX-131XF-1926-SM-5DUW4,11.61,GTEX,Normal Tissue,Prostate,Prostate
TCGA-C8-A12X-01,9.311,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-XU-A936-01,12.12,TCGA,Primary Tumor,Thymus,Thymoma
TCGA-KN-8432-01,8.288,TCGA,Primary Tumor,Kidney,Kidney Chromophobe
TCGA-V1-A8WN-01,9.802,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-44-2656-01,10.75,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-D3-A2JB-06,13.02,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-1211K-1926-SM-5EQLB,12.42,GTEX,Normal Tissue,Breast,Breast - Mammary Tissue
TCGA-SG-A6Z7-01,11.48,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-E9-A5UO-01,10.86,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-ZLFU-1426-SM-4WWEU,12.42,GTEX,Normal Tissue,Colon,Colon - Sigmoid
TCGA-DJ-A3VJ-01,11.74,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-37-3792-01,9.941,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-BR-6852-11,9.92,TCGA,Solid Tissue Normal,Stomach,Stomach Adenocarcinoma
GTEX-12ZZX-0526-SM-5DUW6,11.68,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-F2-A8YN-01,12.15,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-BH-A18U-01,9.381,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-D3-A3MO-06,11.71,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-YFCO-1226-SM-5LUAT,11.24,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
GTEX-ZF29-1826-SM-4WKG8,11.94,GTEX,Normal Tissue,Colon,Colon - Sigmoid
TCGA-EM-A4FR-01,12.45,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-BH-A0C0-01,8.315,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-09-1659-01,11.65,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-133LE-2326-SM-5K7W3,10.99,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
GTEX-12WSE-0011-R7a-SM-5PNWF,10.05,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
GTEX-12WSJ-0126-SM-5GCOM,9.899,GTEX,Normal Tissue,Adrenal Gland,Adrenal Gland
TCGA-DC-6681-01,10.45,TCGA,Primary Tumor,Rectum,Rectum Adenocarcinoma
GTEX-Q2AI-1426-SM-2S1P5,12.29,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-PLZ6-0008-SM-48TD5,12.68,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
GTEX-12KS4-0926-SM-5BC5S,10.93,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
GTEX-S7SE-0011-R6A-SM-2XCD9,10.45,GTEX,Normal Tissue,Brain,Brain - Nucleus Accumbens (Basal Ganglia)
TCGA-A8-A09I-01,9.185,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-VQ-A8PX-01,9.938,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-13JVG-0726-SM-5KM16,12.05,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-B8-5552-11,9.399,TCGA,Solid Tissue Normal,Kidney,Kidney Clear Cell Carcinoma
TCGA-F2-A7TX-01,12.37,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-X4XY-0226-SM-4E3IZ,11.1,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
GTEX-12WSG-0005-SM-5NQA2,5.209,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-KV-A74V-01,11.41,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TCGA-GN-A4U4-06,13.31,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-E2-A15F-01,9.992,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-S9-A7IQ-01,10.69,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-66-2795-01,10.27,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-SQ-A6I6-01,10.12,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TCGA-B0-5110-01,9.479,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-KS-A41J-11,9.376,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
TCGA-55-6979-11,11.04,TCGA,Solid Tissue Normal,Lung,Lung Adenocarcinoma
TCGA-FL-A1YN-11,11.26,TCGA,Solid Tissue Normal,Endometrium,Uterine Corpus Endometrioid Carcinoma
GTEX-147F4-1026-SM-5Q5F9,11.51,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-UY-A9PF-01,13.97,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-11EQ9-0006-SM-5LUB6,5.565,GTEX,Normal Tissue,Blood,Whole Blood
GTEX-W5X1-0226-SM-5CHTO,0.0,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-A5-A2K4-01,11.43,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
TCGA-BP-4986-01,11.59,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-AJ-A2QM-01,10.93,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
TARGET-10-PATCTI-09,6.812,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
GTEX-12WSK-0126-SM-5GCO7,8.08,GTEX,Normal Tissue,Spleen,Spleen
GTEX-14C5O-0226-SM-5SI6O,11.44,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-AJ-A3BD-01,10.61,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
TCGA-60-2712-01,11.25,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-12WSK-0826-SM-5CVNP,11.21,GTEX,Normal Tissue,Lung,Lung
TCGA-4V-A9QW-01,13.38,TCGA,Primary Tumor,Thymus,Thymoma
TCGA-77-6842-01,10.63,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-CV-7423-01,12.31,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-D8-A27L-01,10.93,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-05-4426-01,12.11,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-12WSF-0011-R10a-SM-5LZVH,10.59,GTEX,Normal Tissue,Brain,Brain - Frontal Cortex (Ba9)
GTEX-13NZ9-1326-SM-5MR3V,9.411,GTEX,Normal Tissue,Liver,Liver
TCGA-BR-7957-01,11.83,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TARGET-20-PANPKN-09,3.29,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
GTEX-QCQG-0526-SM-48U2A,10.05,GTEX,Normal Tissue,Stomach,Stomach
GTEX-ZF2S-2526-SM-5CVNT,12.93,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-11WQK-0008-SM-5SI6T,11.39,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-05-4390-01,10.08,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-90-7767-11,11.51,TCGA,Solid Tissue Normal,Lung,Lung Squamous Cell Carcinoma
GTEX-13FTW-1326-SM-5LZZD,9.145,GTEX,Normal Tissue,Testis,Testis
GTEX-ZVT2-2026-SM-5NQ8Q,10.02,GTEX,Normal Tissue,Pancreas,Pancreas
GTEX-ZC5H-0526-SM-5HL9E,12.97,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TCGA-KD-A5QU-01,11.19,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-11PRG-0008-SM-5S2N5,11.69,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
GTEX-TMMY-0926-SM-4WKH4,10.59,GTEX,Normal Tissue,Lung,Lung
GTEX-117YW-0005-SM-5NQ8Z,5.34,GTEX,Normal Tissue,Blood,Whole Blood
