sample,PHLDA3,study,stype,site,disease
GTEX-14753-1926-SM-5NQAA,11.21,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-56-A4BY-01,10.46,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-3U-A98D-01,11.65,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
TCGA-24-1105-01,12.23,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-11OC5-0526-SM-5N9EE,13.0,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TCGA-BQ-7061-11,10.6,TCGA,Solid Tissue Normal,Kidney,Kidney Papillary Cell Carcinoma
TCGA-BK-A56F-01,10.3,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
TCGA-BR-8361-01,8.56,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-BH-A0BL-01,10.34,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-XQ8I-0326-SM-4BOPN,11.16,GTEX,Normal Tissue,Blood Vessel,Artery - Coronary
GTEX-13FTX-0326-SM-5J2NG,10.6,GTEX,Normal Tissue,Lung,Lung
TCGA-37-4132-01,8.216,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-AR-A1AI-01,7.981,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-146FH-2526-SM-5Q5BP,10.52,GTEX,Normal Tissue,Ovary,Ovary
TCGA-DE-A4M8-01,10.93,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-V1D1-0003-SM-3NMDP,9.368,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
TCGA-50-5936-01,10.92,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-AJ-A3OL-01,10.86,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
