Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Complement,0.4183625481894579,2.1045706325795375,0.0,0.0,0.0,68/172,19.74%,LGALS3;TIMP1;PFN1;SIRT6;RHOG;SERPINA1;CTSD;PLAUR;PPP4C;ANG;STX4;S100A13;CTSH;FN1;TMPRSS6;CTSC;GNAI2;CD55;SRC;DUSP6;CLU;DUSP5;DPP4;CFB;IRF7;C3;S100A9;CEBPB;GNB2;SPOCK2;RABIF;FYN;FCER1G;RCE1;LYN;PSMB9;CFH;SERPING1;MMP14;ITGAM;CD59;MAFF;C1QA;TIMP2;EHD1;OLR1;CTSS;F5;C2;APOC1;APOBEC3F;MMP13;APOBEC3G;TFPI2;MSRB1;ANXA5;FCN1;IRF1;WAS;C1R;CASP1;PLA2G4A;C1QC;MMP12;LRP1;LTA4H;PIM1;CASP4
prerank,Estrogen Response Late,0.38784240291433386,1.9820982268266887,0.0,0.00018953154120731594,0.002,68/181,22.77%,KRT19;GALE;SFN;LSR;ALDH3B1;SULT2B1;SERPINA1;NBL1;ST14;MDK;PERP;EMP2;CCNA1;GJB3;RNASEH2A;KLK10;PLAAT3;SCNN1A;TST;SEMA3B;CCND1;PRSS23;CXCL14;LAMC2;NAB2;S100A9;PTGES;MAPK13;TFAP2C;BTG3;KRT13;IGSF1;SIAH2;NXT1;NMU;PTPN6;TRIM29;AGR2;GINS2;TIAM1;PLXNB1;TPD52L1;KLK11;RAPGEFL1;ASS1;BATF;IGFBP4;TPSAB1;TFPI2;SLC27A2;RAB31;PGR;MICB;DHRS2;TSPAN13;PKP3;BAG1;SNX10;TPBG;LLGL2;ISG20;CCN5;OVOL2;CAV1;FABP5;NRIP1;ATP2B4;ITPK1
prerank,IL-6/JAK/STAT3 Signaling,0.4374384933290885,1.9227364178312454,0.0,0.0003499043837673525,0.004,40/76,28.43%,TNFRSF1A;TNFRSF12A;EBI3;FAS;IFNGR2;TNFRSF21;TGFB1;CSF1;TNFRSF1B;IL4R;LTB;CD14;MYD88;OSMR;CSF2RA;IL10RB;CRLF2;HMOX1;IL1R2;IL15RA;SOCS1;IL13RA1;TLR2;LTBR;CCR1;IL18R1;IRF1;IL2RG;PIM1;STAT2;IL2RA;IRF9;STAT1;CSF2RB;CSF3R;IL1B;IL12RB1;IFNGR1;PTPN2;PIK3R5
prerank,IL-2/STAT5 Signaling,0.36995880240776613,1.8766109492244607,0.0,0.0004873668202473838,0.006,76/182,26.93%,BCL2L1;SYNGR2;GPX4;MUC1;CAPG;GSTO1;ETV4;BATF3;LIF;S100A1;DHRS3;TNFRSF18;SLC1A5;PRAF2;MAPKAPK2;TNFRSF21;CSF1;TNFRSF1B;ANXA4;MYO1C;IL4R;NT5E;LTB;TGM2;PUS1;PLEC;WLS;FLT3LG;RNH1;PTRH2;SLC2A3;MAFF;AHR;TIAM1;PNP;CD81;CDKN1C;TTC39B;CDCP1;PLIN2;IL1RL1;BHLHE40;IL1R2;AGER;SOCS1;CD86;BATF;CCND3;SPP1;IL18R1;GLIPR2;NFKBIZ;PIM1;CCNE1;IL2RA;CD83;CTSZ;CCND2;DCPS;PLSCR1;ALCAM;SELL;ECM1;CTLA4;TNFRSF4;CST7;IL2RB;PDCD2L;IL10RA;SELP;TNFSF10;TRAF1;TNFRSF9;SERPINB6;IFITM3;IFNGR1
prerank,DNA Repair,0.3722873220870275,1.845261494998772,0.0,0.0005306883153804845,0.007,79/146,35.90%,DDB2;GPX4;SAC3D1;GUK1;TAF10;MPG;IMPDH2;POLD4;ADRM1;POLR2I;POLD1;DGUOK;TYMS;POLR2H;NME3;ERCC1;POLE4;NME1;RBX1;PCNA;ITPA;NELFE;NT5C;ELL;RFC2;PNP;POLR2E;APRT;VPS28;AK1;POLR3C;ALYREF;RAD51;POLA2;NELFB;TK2;ERCC5;POLR2J;RFC4;CANT1;TAF12;SUPT5H;STX3;TP53;MPC2;EDF1;GTF2F1;LIG1;GSDME;POLL;FEN1;POLR1D;HCLS1;GTF3C5;GTF2H5;HPRT1;POLR2G;RALA;POLR2D;NPR2;TAF9;RRM2B;CMPK2;DUT;GTF2B;TARBP2;CCNO;ZNF707;GTF2A2;ADA;SUPT4H1;CSTF3;CDA;BCAP31;NME4;XPC;RPA2;RPA3;POLR1C
prerank,Myc Targets V1,0.3560502162848862,1.8395615937724967,0.0,0.0004975202956692043,0.007,65/198,21.31%,RPS2;SRM;RRP9;RPL14;RPS3;RPLP0;RACK1;LSM7;IMPDH2;RPL18;SNRPD2;RPS10;MCM5;RPL34;MRPL9;TYMS;PSMB3;PSMA7;RPS6;PSMA1;EEF1B2;RPS5;SSBP1;PSMB2;NME1;SNRPD1;MRPL23;PCNA;MCM7;LSM2;CBX3;PSMA2;RANBP1;SNRPA;EIF3D;FBL;MCM4;PPM1G;PRPF31;PABPC4;NOP16;MCM6;SNRPG;CDC45;EIF3B;HDGF;CCT3;LDHA;PRDX4;NAP1L1;RUVBL2;CCT7;PSMA4;NHP2;RFC4;HNRNPA1;NDUFAB1;PPIA;PABPC1;RNPS1;SNRPB2;KARS1;MCM2;AP3S1;APEX1
prerank,KRAS Signaling Up,0.3559207647956245,1.790455085075044,0.0,0.0012040827323758895,0.018,61/172,19.97%,SCN1B;KCNN4;SLPI;PLAU;PLAUR;PSMB8;ETV4;LIF;DUSP6;ANGPTL4;SEMA3B;CFB;FUCA1;TMEM176A;MMP11;MPZL2;CCL20;TMEM176B;G0S2;ALDH1A3;PCSK1N;CLEC4A;VWA5A;TNFRSF1B;FCER1G;CFH;LAT2;ITGB2;ITGA2;DCBLD2;ADAM8;TMEM100;CSF2RA;LAPTM5;GLRX;LY96;IL1RL2;SPON1;CTSS;GPNMB;PTGS2;ERO1A;MMP9;TRIB2;EREG;JUP;MAP4K1;F2RL1;SPP1;APOD;ETV5;TSPAN1;INHBA;LCP1;IL2RG;BIRC3;TSPAN13;CD37;TOR1AIP2;SCG5;ETV1
prerank,Reactive Oxygen Species Pathway,0.4198669625414164,1.6935601280616583,0.0,0.0034747449221341252,0.054,18/47,20.98%,GPX4;TXN;PDLIM1;EGLN2;PRDX6;CDKN2D;FTL;MGST1;MSRA;GLRX;LSP1;LAMTOR5;FES;PRDX4;GLRX2;SBNO2;JUNB;SOD1
prerank,Hypoxia,0.3188486111902288,1.6160709440549292,0.0015625,0.007002691680396619,0.11,59/180,20.93%,ANXA2;SULT2B1;S100A4;PLAUR;CAVIN1;CDKN1A;STBD1;SDC4;ANGPTL4;HS3ST1;GALK1;SDC3;B3GALT6;KDELR3;CASP6;IER3;ENO1;CHST2;PAM;CAVIN3;TGM2;SIAH2;EFNA1;LOX;SLC2A3;MAFF;TGFBI;PKP1;NAGK;AK4;GLRX;BGN;CDKN1C;PFKL;HMOX1;MIF;ERO1A;EFNA3;PLIN2;BHLHE40;P4HA2;COL5A1;SLC6A6;SLC2A1;GAPDH;LDHA;IDS;FAM162A;PGM1;ADM;TPBG;HEXA;FBP1;SLC37A4;PIM1;GPC1;PLAC8;ISG20;CCN5
prerank,Glycolysis,0.3179941951135216,1.613332675992464,0.0,0.006766276021101178,0.112,65/181,22.95%,GALE;B3GNT3;QSOX1;ELF3;ANG;PGLS;TXN;PKM;ANGPTL4;B4GALT2;CLDN3;SLC16A3;GALK1;SDC3;B3GALT6;PYGL;KDELR3;CHPF2;CLDN9;CASP6;SPAG4;AGRN;IER3;B3GAT3;MET;ENO1;RBCK1;CHST2;PAM;DSC2;NT5E;PYGB;TGFA;AKR1A1;EGLN3;TGFBI;SDC1;AK4;GLRX;TALDO1;PC;STMN1;MIF;ERO1A;EFNA3;P4HA2;COL5A1;CHST1;IL13RA1;CHST6;LDHA;VCAN;FAM162A;CHPF;TPBG;PPIA;SLC37A4;GPC1;ISG20;SOD1;PKP2;PDK3;XYLT2;B3GAT1;ANKZF1
