sample,beta
TCGA-EM-A2P2-01A,0.247376465267123
TCGA-DJ-A13M-01A,0.395312088474183
TCGA-DE-A0Y3-01B,0.374808285130331
TCGA-H2-A3RI-11A,0.759825405813575
TCGA-FY-A3BL-01A,0.601601500909078
TCGA-DJ-A3VG-01A,0.584277975570003
TCGA-FY-A3R8-01A,0.310038643906147
TCGA-EM-A22J-01A,0.735061140721842
TCGA-BJ-A45I-01A,0.340302085813081
TCGA-EL-A3GW-01A,0.348865547371708
TCGA-DE-A4MD-06A,0.277978201072858
TCGA-EL-A3CZ-01A,0.754718300068979
TCGA-EL-A3TA-11A,0.778778005864792
TCGA-BJ-A2N7-11A,0.774145367841822
TCGA-EM-A3FL-01A,0.799391056468734
TCGA-ET-A39O-01A,0.272825583962319
TCGA-EL-A3GU-01A,0.182930771421572
TCGA-IM-A420-01A,0.361973085269042
TCGA-CE-A3ME-01A,0.746269837601973
TCGA-FK-A3SH-01A,0.211708036826849
TCGA-EM-A1YE-01A,0.744838232529872
TCGA-FE-A233-01A,0.350872361527984
TCGA-DJ-A1QL-01A,0.610205709006137
TCGA-EL-A3MX-01A,0.172597186834576
TCGA-EL-A3ZP-11A,0.740216678889861
TCGA-EL-A3ZP-01A,0.330480233519947
TCGA-ET-A2MY-11B,0.748774161320551
TCGA-ET-A25N-11A,0.73880966668103
TCGA-EL-A3MZ-01A,0.193941743886158
TCGA-DJ-A2PQ-01A,0.329652049599398
TCGA-EM-A4FN-01A,0.365373532448679
TCGA-EL-A3MW-01A,0.678844883718575
TCGA-EL-A3MW-11A,0.694297234671787
TCGA-E8-A2JQ-11A,0.7546445171096
TCGA-EM-A3FQ-01A,0.401507150090954
TCGA-EL-A3H8-01A,0.311596508006047
TCGA-DJ-A2PY-01A,0.371846608028695
TCGA-EL-A3CO-01A,0.632516560075894
TCGA-FE-A23A-01A,0.431395375705593
TCGA-EM-A3FN-01A,0.727414720259094
TCGA-EM-A4FU-01A,0.318708547085927
TCGA-EL-A3CT-01A,0.321055739678429
TCGA-EL-A3H5-01A,0.250918295375089
TCGA-FE-A232-01A,0.632068668146832
TCGA-FY-A3RA-01A,0.357174836322663
TCGA-ET-A25J-01A,0.34318336266651
TCGA-BJ-A28R-01A,0.306936858429714
TCGA-FY-A4B4-01A,0.29742259216056
TCGA-BJ-A0ZH-01A,0.417470018478218
TCGA-E8-A416-01A,0.714960274454092
TCGA-DJ-A4V5-01A,0.342420284212301
TCGA-E3-A3E1-01A,0.48742223541856
TCGA-EM-A1YD-11A,0.82549400632824
TCGA-DE-A4MA-01A,0.238194487287373
TCGA-EL-A3H1-01A,0.63624971309894
TCGA-FY-A40K-01A,0.470182273088908
TCGA-DJ-A13S-01A,0.552235055435645
TCGA-KS-A41F-01A,0.292121453346734
TCGA-DJ-A2Q0-01A,0.435751183574386
TCGA-IM-A41Z-01A,0.781033255532585
TCGA-FY-A3R7-01A,0.464832211671032
TCGA-EM-A3ST-01A,0.258305253516041
