ImmuneScore,StromalScore,ESTIMATEScore,PurityIndex,PHLDA3,sample_type,tumor,patient
-0.14518707117902818,0.2877244927614529,-0.04753251088832272,0.04753251088832272,5.410301890353786,01,1,TCGA-FE-A3PD
-0.28377057658222243,0.3986193128568897,0.4961970022187828,-0.4961970022187828,6.696842402562147,01,1,TCGA-FY-A4B3
0.20678879557873298,0.40006765506366837,3.620276216048052,-3.620276216048052,3.610255695927233,01,1,TCGA-BJ-A28T
-0.013825193314271494,0.3950032043297979,2.158766755122621,-2.158766755122621,6.03616960109482,01,1,TCGA-EL-A3ZP
-0.2748453083552378,0.1507032006061249,-2.6241777540098883,2.6241777540098883,5.55441810898663,01,1,TCGA-ET-A39T
-0.18168561312657025,0.19576038451700895,-1.45704668287918,1.45704668287918,5.356719963211677,01,1,TCGA-FY-A40N
-0.4570726786819501,0.28089986065448197,-2.1093987323247845,2.1093987323247845,4.994684025679625,01,1,TCGA-DE-A2OL
-0.19112561321161062,0.2865513095587473,-0.3533831431458717,0.3533831431458717,5.88085849091377,01,1,TCGA-KS-A4I9
-0.4188142522275953,0.3181457587324475,-1.3899202302453377,1.3899202302453377,5.203658028872482,01,1,TCGA-EM-A3AI
-0.26139599032608124,0.3121565678872469,-0.4701205630706631,0.4701205630706631,4.968342649742272,01,1,TCGA-DJ-A3UK
-0.23220184362690438,0.28378344079581486,-0.6488873923441666,0.6488873923441666,5.683343276970565,01,1,TCGA-EL-A3T7
-0.23895496040599543,0.33228216996205917,-0.07016015054945848,0.07016015054945848,4.845554168543851,01,1,TCGA-EL-A3GO
-0.27107395444187093,0.22984049528180156,-1.5862121999295495,1.5862121999295495,6.485048892393548,01,1,TCGA-BJ-A192
0.009245557812250354,0.21404723915173512,-0.014010198072757829,0.014010198072757829,5.802441813389698,01,1,TCGA-EL-A3T6
0.051412895877669375,0.39389953108014014,2.557618121310062,-2.557618121310062,5.657412119480019,01,1,TCGA-EL-A3ZS
-0.3741018853865707,0.3579374461307859,-0.5969620537567484,0.5969620537567484,4.55397190508162,11,0,TCGA-EL-A3MY
-0.21998293459974738,0.3999842475769748,0.917499749328558,-0.917499749328558,5.391293762489443,01,1,TCGA-EL-A3GR
0.14271214949369518,0.46093363961259853,3.9945909180417,-3.9945909180417,6.434190964709728,01,1,TCGA-DJ-A2Q9
0.12873253930783451,0.47431554240415236,4.077572043874407,-4.077572043874407,5.487403024748762,01,1,TCGA-EL-A3CV
-0.18753162186626252,0.4346157544734744,1.5667142711845856,-1.5667142711845856,6.319029678706263,01,1,TCGA-ET-A25L
-0.3535321105201854,0.32401300887528317,-0.901462332797362,0.901462332797362,5.305805039852283,01,1,TCGA-DJ-A1QL
-0.29734969211997825,0.4452773747429821,1.0081248891575254,-1.0081248891575254,4.963511160091244,01,1,TCGA-EL-A3D0
0.05826375861901899,0.3273153832671992,1.747757297262898,-1.747757297262898,4.355610049001186,11,0,TCGA-BJ-A2NA
-0.34680694601267664,0.3059009633203344,-1.0909817939739828,1.0909817939739828,2.879619426075499,11,0,TCGA-EL-A3GZ
0.08980985219691265,0.46293793377924386,3.6853729730210256,-3.6853729730210256,5.574893801709674,01,1,TCGA-EM-A22P
0.028467591261423085,0.36820714373708674,2.0831307869182427,-2.0831307869182427,6.295903908410862,01,1,TCGA-EM-A3FQ
-0.04869529336883608,0.4502280635214506,2.6456883021708824,-2.6456883021708824,6.219510330849795,01,1,TCGA-FE-A3PB
-0.18512466754112455,0.12521971248551422,-2.382748705494847,2.382748705494847,5.817348665406474,01,1,TCGA-E8-A418
-0.2731391734334049,0.23940728380905846,-1.4766943058368596,1.4766943058368596,5.90337051463349,01,1,TCGA-L6-A4EQ
-0.38978921323054777,0.3041848615728831,-1.3850746589222316,1.3850746589222316,5.672024299289815,01,1,TCGA-E3-A3DZ
-0.12240612661712154,0.4202956802052586,1.7954936414300382,-1.7954936414300382,5.80713129371582,01,1,TCGA-ET-A40T
-0.14273106752355472,0.34213411517324166,0.6652377849582395,-0.6652377849582395,5.797647715502228,01,1,TCGA-EM-A4FF
-0.1680960996522023,0.4376092320918536,1.72811155992337,-1.72811155992337,5.259329504947285,01,1,TCGA-DJ-A3UV
-0.329487442758469,0.3186676863792942,-0.8177425985480371,0.8177425985480371,5.253933248329674,01,1,TCGA-DJ-A3VG
-0.27286702356127823,0.35736210823186376,0.03653960513303234,-0.03653960513303234,6.493870891997787,01,1,TCGA-ET-A39P
-0.21129757473952132,0.4772173749550262,1.962173142466326,-1.962173142466326,5.4821605915499525,01,1,TCGA-DJ-A4UW
-0.21254353633042486,0.34308717564006447,0.2354979948109016,-0.2354979948109016,6.059331800387852,01,1,TCGA-EM-A22I
