ensembl,log2FC_tumor_vs_normal,AUC,AUC_disc,pval,mean_logCPM_tumor,FDR,symbol,gene_type
ENSG00000185090,1.3637270445624723,0.948481934331639,0.948481934331639,4.468147175644716e-29,3.398364142845336,6.977318452320494e-27,MANEAL,protein-coding
ENSG00000270959,-0.7858331276170158,0.05158675642258552,0.9484132435774144,4.5553794715316153e-29,0.7635267157495784,7.044474196364618e-27,LPP-AS2,ncRNA
ENSG00000138356,-2.9821379626917714,0.05162110179969776,0.9483788982003023,4.599617254820607e-29,1.399979704259225,7.044490734113715e-27,AOX1,protein-coding
ENSG00000205221,-1.569966863218696,0.05194738288226405,0.9480526171177359,4.1345431812421027e-29,0.3013099919411809,6.52178257328825e-27,VIT,protein-coding
ENSG00000183888,-0.9488723104718849,0.05210193707926913,0.9478980629207309,2.9057737012466343e-29,0.17960381769398057,5.259450399256408e-27,SRARP,protein-coding
ENSG00000135723,1.2077590963801255,0.9477606814122819,0.9477606814122819,5.4731046689541e-29,5.363178324002141,8.302439158771514e-27,FHOD1,protein-coding
ENSG00000106829,-1.679870602161837,0.05282318999862619,0.9471768100013738,6.448454211030056e-29,2.759843536937497,9.689714969177994e-27,TLE4,protein-coding
ENSG00000109205,-1.4569946132701301,0.05296057150707515,0.9470394284929249,9.973424700548153e-30,0.34155352698468866,2.5117517411363203e-27,ODAM,protein-coding
ENSG00000130226,-3.951762484524398,0.053338370655309796,0.9466616293446902,7.451119483606917e-29,1.859057284655134,1.1091722535971119e-26,DPP6,protein-coding
ENSG00000136111,-2.0114734408696098,0.053510097540871,0.946489902459129,7.818598377996178e-29,4.355250774405449,1.1530984718955845e-26,TBC1D4,protein-coding
ENSG00000177363,-1.3140523781597822,0.05357878829509548,0.9464212117049045,7.914957232343635e-29,0.354455240770297,1.1566003559336644e-26,LRRN4CL,protein-coding
ENSG00000166145,1.4098925173710972,0.9461121033108943,0.9461121033108943,8.691509921157569e-29,7.317212412665453,1.2489108299408566e-26,SPINT1,protein-coding
ENSG00000075035,-3.9196681437018914,0.05392224206621789,0.9460777579337821,8.775429485994546e-29,2.1238214141936296,1.2489108299408566e-26,WSCD2,protein-coding
ENSG00000065675,-1.3568681692368645,0.05395658744333013,0.9460434125566699,8.860304104929484e-29,3.735992393851458,1.2489108299408566e-26,PRKCQ,protein-coding
ENSG00000066382,-3.0092537853323447,0.05395658744333013,0.9460434125566699,8.860304104929484e-29,2.48647130697718,1.2489108299408566e-26,MPPED2,protein-coding
ENSG00000151365,2.255156881943109,0.945493886522874,0.945493886522874,1.0333090200033988e-28,3.314999477457469,1.4437321114573804e-26,THRSP,protein-coding
ENSG00000130513,3.4257459973152633,0.9451504327517516,0.9451504327517516,1.137437541712448e-28,5.327984884859489,1.561819410723782e-26,GDF15,protein-coding
ENSG00000157927,-1.546883210820234,0.05484956724824839,0.9451504327517516,1.137437541712448e-28,0.8373460752820229,1.561819410723782e-26,RADIL,protein-coding
ENSG00000147606,-3.369935145963553,0.05508998488803407,0.9449100151119659,1.2164572679483932e-28,6.000740115999364,1.656045415716411e-26,SLC26A7,protein-coding
ENSG00000001617,1.3048873732015034,0.9448756697348537,0.9448756697348537,1.2281817334682763e-28,5.909618315152008,1.65783717378667e-26,SEMA3F,protein-coding
ENSG00000104888,-0.9056869114834727,0.05519302101937079,0.9448069789806293,1.2519653678992484e-28,0.4833506354828121,1.675739863857078e-26,SLC17A7,protein-coding
ENSG00000086205,1.05523795941102,0.9447382882264047,0.9447382882264047,1.2762112644531206e-28,1.516009626576822,1.6939577516841087e-26,FOLH1,protein-coding
ENSG00000204381,-1.9314490980561692,0.05529605715070751,0.9447039428492925,1.2885069548654068e-28,2.564880179637001,1.6961437005864627e-26,LAYN,protein-coding
ENSG00000141639,-3.0651079670718193,0.055364747904931996,0.944635252095068,1.3134519940732151e-28,1.3368017151386002,1.7148084722621452e-26,MAPK4,protein-coding
ENSG00000234546,0.6392368421135075,0.9442574529468334,0.9442574529468334,1.4594609277806263e-28,1.1508986772977376,1.8846537136675053e-26,LNCTAM34A,ncRNA
ENSG00000240602,-1.3409527790092468,0.055776892430278883,0.9442231075697212,1.4672090689023774e-28,0.2794402071594853,1.8846537136675053e-26,AADACP1,
ENSG00000115112,-3.600434667687488,0.055914273938727846,0.9440857260612722,1.5310455559769493e-28,3.435879078756668,1.950919489248068e-26,TFCP2L1,protein-coding
ENSG00000235978,1.1541857712790893,0.9439483445528232,0.9439483445528232,1.5908122523634617e-28,1.4889671929250503,2.0109886948924776e-26,LOC124906209,ncRNA
ENSG00000157111,-2.3308845929453748,0.056154691578513535,0.9438453084214864,1.6371509093464254e-28,2.271776310760087,2.0532708412653437e-26,TMEM171,protein-coding
ENSG00000134042,-2.644742020747108,0.05622338233273801,0.943776617667262,1.6687812232912617e-28,1.2520134740247582,2.0765896347330638e-26,MRO,protein-coding
ENSG00000128573,-2.1611864880434037,0.0562920730869625,0.9437079269130375,1.7010248706995106e-28,1.91252118350646,2.1003041969381244e-26,FOXP2,protein-coding
ENSG00000144749,-1.5919446389434544,0.05632641846407473,0.9436735815359253,1.7173758816532423e-28,4.5360687039412,2.1041817725363727e-26,LRIG1,protein-coding
ENSG00000131015,1.2569741334819775,0.9432270916334662,0.9432270916334662,1.9446775447180455e-28,1.7694085147539735,2.364490376509086e-26,ULBP2,protein-coding
ENSG00000091129,1.9890049662018674,0.9431927462563539,0.9431927462563539,1.96335061769656e-28,5.249640349427588,2.3691097453538493e-26,NRCAM,protein-coding
ENSG00000184156,2.885394530727073,0.9431240555021294,0.9431240555021294,2.0012320136349293e-28,3.863538448184959,2.3966634220433952e-26,KCNQ3,protein-coding
ENSG00000070193,-0.8772027664873695,0.05687594449787059,0.9431240555021294,2.6833422116468294e-29,0.15615922789269251,4.912675258288586e-27,FGF10,protein-coding
ENSG00000183775,-2.0225176779534304,0.05704767138343179,0.9429523286165682,2.09909313945252e-28,0.5581820414152259,2.4951011585969956e-26,KCTD16,protein-coding
ENSG00000154928,-2.150698423458497,0.057150707514768515,0.9428492924852314,2.1601459338468384e-28,2.383135085117872,2.5486521803194402e-26,EPHB1,protein-coding
ENSG00000146267,2.0735844644126766,0.9426432202225581,0.9426432202225581,2.2874891028438495e-28,3.2352577066820976,2.659498279569112e-26,FAXC,protein-coding
ENSG00000154553,-2.3060089618716018,0.057356779777441955,0.9426432202225581,2.2874891028438495e-28,2.9731556496547396,2.659498279569112e-26,PDLIM3,protein-coding
ENSG00000144821,-0.744887204325503,0.05752850666300316,0.9424714933369969,2.3943998229527606e-28,0.17634781999315602,2.763623215941418e-26,MYH15,protein-coding
ENSG00000165959,-1.829814850498709,0.0575628520401154,0.9424371479598845,2.422275739136051e-28,2.794451480634312,2.775684026831584e-26,CLMN,protein-coding
ENSG00000163485,2.153822154733126,0.9423684572056601,0.9423684572056601,2.4689325692724825e-28,4.537359628575479,2.8089398545265786e-26,ADORA1,protein-coding
ENSG00000138315,1.0473983305579664,0.9423169391399917,0.9423169391399917,2.5044566721796297e-28,1.243249362230983,2.829147934360081e-26,OIT3,protein-coding
ENSG00000231768,-0.8700935613862661,0.05776892430278884,0.9422310756972112,2.5646359179166186e-28,0.29917452992584453,2.876726823984218e-26,LINC01354,ncRNA
ENSG00000149573,2.095403536499668,0.9421280395658744,0.9421280395658744,2.6393624263822717e-28,7.25073453531078,2.939843687231946e-26,MPZL2,protein-coding
ENSG00000169946,-2.0266324777088247,0.057906305811237804,0.9420936941887622,2.664643808838328e-28,2.079314080714746,2.947392124109506e-26,ZFPM2,protein-coding
ENSG00000026652,-1.658981813156109,0.05794065118835005,0.94205934881165,2.6901653905345435e-28,1.8575518046469992,2.95510029934029e-26,AGPAT4,protein-coding
ENSG00000144648,-1.011758509306194,0.058249759582360214,0.9417502404176398,2.9310490903098e-28,0.6486147608114705,3.197654103455787e-26,ACKR2,protein-coding
ENSG00000166415,-2.4756479458497296,0.058387141090809176,0.9416128589091908,3.044863302946572e-28,4.395498814042304,3.299223312199524e-26,WDR72,protein-coding
ENSG00000174567,2.2816188836805367,0.9413037505151807,0.9413037505151807,3.3172245766331245e-28,2.8621283075874295,3.570050882203541e-26,GOLT1A,protein-coding
ENSG00000147408,-2.1754903551095444,0.05879928561615606,0.9412007143838439,3.4132770014782874e-28,5.053016153826294,3.624445071969744e-26,CSGALNACT1,protein-coding
ENSG00000168079,-3.0295070185445643,0.058833630993268306,0.9411663690067317,3.3642808029987557e-28,0.8574410472233452,3.596393599339878e-26,SCARA5,protein-coding
ENSG00000143839,0.9484767053214719,0.9409431240555022,0.9409431240555022,3.6621713708229167e-28,1.00345522373062,3.862984476454796e-26,REN,protein-coding
