patient,cna,PHLDA3,cat
TCGA-EL-A3H5,1,5.106559141057615,Gain
TCGA-EL-A3H7,0,5.764526930567594,Diploid
TCGA-EL-A3H8,0,5.503224586798408,Diploid
TCGA-EL-A3MW,0,5.2354343809511,Diploid
TCGA-EL-A3MX,0,6.793413551673591,Diploid
TCGA-EL-A3MY,0,6.101971794461505,Diploid
TCGA-EL-A3MZ,1,6.344011268202992,Gain
TCGA-EL-A3N2,0,5.6355791425607915,Diploid
TCGA-EL-A3N3,0,5.894193063033177,Diploid
TCGA-EL-A3T0,0,5.136045259490298,Diploid
TCGA-EL-A3T1,0,6.0648134089586,Diploid
TCGA-EL-A3T2,0,4.938959872122638,Diploid
TCGA-EL-A3T3,0,6.078815380430366,Diploid
TCGA-EL-A3T6,0,5.802441813389698,Diploid
TCGA-EL-A3T7,0,5.683343276970565,Diploid
TCGA-EL-A3T8,0,5.592219080107228,Diploid
TCGA-EL-A3T9,1,6.57179215106156,Gain
TCGA-EL-A3TA,0,5.519187117648452,Diploid
TCGA-EL-A3TB,0,5.994828190756926,Diploid
TCGA-EL-A3ZG,0,5.10086481385426,Diploid
TCGA-EL-A3ZH,0,5.220473872169903,Diploid
TCGA-EL-A3ZK,0,6.529917814730352,Diploid
TCGA-EL-A3ZL,0,5.1154023873864505,Diploid
TCGA-EL-A3ZM,0,6.56481258070383,Diploid
TCGA-EL-A3ZN,0,5.213349431062818,Diploid
TCGA-EL-A3ZO,1,7.414631949172392,Gain
TCGA-EL-A3ZP,0,6.03616960109482,Diploid
TCGA-EL-A3ZQ,0,6.242068713998948,Diploid
TCGA-EL-A3ZR,0,5.509631937450434,Diploid
TCGA-EL-A3ZS,0,5.657412119480019,Diploid
TCGA-EL-A3ZT,0,6.027404396297224,Diploid
TCGA-EL-A4JV,0,5.103474902028652,Diploid
TCGA-EL-A4JW,0,6.097356899912125,Diploid
TCGA-EL-A4JX,1,6.4109732700832,Gain
TCGA-EL-A4JZ,0,6.066131995336578,Diploid
TCGA-EL-A4K0,0,5.648365701556211,Diploid
TCGA-EL-A4K1,0,5.7301240556914985,Diploid
TCGA-EL-A4K2,0,5.007758800553036,Diploid
TCGA-EL-A4K4,0,6.188427350598989,Diploid
TCGA-EL-A4K6,0,4.40120524208547,Diploid
TCGA-EL-A4K7,0,6.723185450633553,Diploid
TCGA-EL-A4K9,0,6.3793757734530425,Diploid
TCGA-EL-A4KD,0,5.820039982383374,Diploid
TCGA-EL-A4KG,0,6.7336094021022435,Diploid
TCGA-EL-A4KH,0,5.837011004991033,Diploid
TCGA-EL-A4KI,0,5.3186914086334465,Diploid
TCGA-EM-A1CS,0,5.322271017420886,Diploid
TCGA-EM-A1CT,0,5.465334639645297,Diploid
TCGA-EM-A1CU,0,5.862181083551281,Diploid
TCGA-EM-A1CV,0,4.320615708697385,Diploid
TCGA-EM-A1CW,0,5.193473670513013,Diploid
TCGA-EM-A1YA,0,5.318152457798401,Diploid
TCGA-EM-A1YB,0,4.459069794428753,Diploid
TCGA-EM-A1YC,0,4.938459301684095,Diploid
TCGA-EM-A1YD,0,3.762508114907535,Diploid
TCGA-EM-A1YE,-1,5.747834258095318,Shallow del
TCGA-EM-A22I,0,6.059331800387852,Diploid
TCGA-EM-A22J,0,4.166242436835777,Diploid
TCGA-EM-A22K,0,4.923984482453379,Diploid
TCGA-EM-A22L,0,4.981720050581595,Diploid
TCGA-EM-A22M,0,5.279296462048264,Diploid
TCGA-EM-A22N,0,4.386890857192867,Diploid
TCGA-EM-A22O,0,5.29262014873398,Diploid
TCGA-EM-A22P,0,5.574893801709674,Diploid
TCGA-EM-A22Q,0,6.944988366877822,Diploid
TCGA-EM-A2CJ,0,5.204196681011282,Diploid
TCGA-EM-A2CK,0,4.880474658531071,Diploid
TCGA-EM-A2CL,0,5.315404644831824,Diploid
TCGA-EM-A2CN,0,5.519037941388477,Diploid
TCGA-EM-A2CO,0,4.899902170798782,Diploid
TCGA-EM-A2CP,0,4.164709260273871,Diploid
TCGA-EM-A2CQ,0,4.134449804846085,Diploid
TCGA-EM-A2CT,0,4.766358766762654,Diploid
TCGA-EM-A2CU,0,6.465845061944889,Diploid
TCGA-EM-A2OV,0,4.150981130269017,Diploid
TCGA-EM-A2OW,0,3.927495314725152,Diploid
TCGA-EM-A2OX,0,6.094181402638275,Diploid
TCGA-EM-A2OY,0,4.126150469577478,Diploid
TCGA-EM-A2OZ,0,5.662889723985754,Diploid
TCGA-EM-A2P0,0,5.4437042782550575,Diploid
TCGA-EM-A2P1,0,4.882101661627084,Diploid
TCGA-EM-A2P2,0,5.576009690867449,Diploid
TCGA-EM-A2P3,0,6.149365249242014,Diploid
TCGA-EM-A3AI,0,5.203658028872482,Diploid
TCGA-EM-A3AJ,0,5.394004812712171,Diploid
TCGA-EM-A3AK,0,5.441654831931998,Diploid
TCGA-EM-A3AL,0,4.792020605258138,Diploid
TCGA-EM-A3AN,0,5.769914557382714,Diploid
TCGA-EM-A3AO,0,5.251509144859384,Diploid
TCGA-EM-A3AP,0,5.901240721932774,Diploid
TCGA-EM-A3AQ,0,6.081230841314545,Diploid
TCGA-EM-A3AR,0,4.599984794086578,Diploid
TCGA-EM-A3FJ,0,5.6311169487205515,Diploid
TCGA-EM-A3FK,0,5.968339835496469,Diploid
TCGA-EM-A3FL,0,4.099262634328492,Diploid
TCGA-EM-A3FM,0,6.653536850360856,Diploid
TCGA-EM-A3FN,0,4.395424464675614,Diploid
TCGA-EM-A3FO,0,6.085603028668092,Diploid
TCGA-EM-A3FP,0,6.398003777922499,Diploid
TCGA-EM-A3FQ,0,6.295903908410862,Diploid
TCGA-EM-A3FR,0,3.386446674443897,Diploid
TCGA-EM-A3O3,1,7.533342292755117,Gain
TCGA-EM-A3O6,0,3.988734558797088,Diploid
TCGA-EM-A3O7,0,5.438883702845589,Diploid
TCGA-EM-A3O8,0,4.340769717047609,Diploid
TCGA-EM-A3OA,0,4.817886086269933,Diploid
TCGA-EM-A3OB,0,5.540517117962826,Diploid
TCGA-EM-A3ST,0,6.617523250213317,Diploid
TCGA-EM-A3SU,0,6.39106454996004,Diploid
TCGA-EM-A3SX,0,5.297908672174414,Diploid
TCGA-EM-A3SY,0,4.020182716514296,Diploid
TCGA-EM-A3SZ,0,6.018266456376468,Diploid
TCGA-EM-A4FF,0,5.797647715502228,Diploid
TCGA-EM-A4FH,0,4.879065300651359,Diploid
TCGA-EM-A4FK,0,5.182796399227265,Diploid
TCGA-EM-A4FM,0,6.401756384830407,Diploid
TCGA-EM-A4FN,0,6.579245644180655,Diploid
TCGA-EM-A4FO,0,5.720191186819013,Diploid
TCGA-EM-A4FQ,0,5.93477450720021,Diploid
TCGA-EM-A4FR,0,6.2736361456184335,Diploid
TCGA-EM-A4FU,0,5.8848814072704,Diploid
TCGA-EM-A4FV,0,5.842870292221507,Diploid
TCGA-EM-A4G1,0,5.013480259771848,Diploid
TCGA-ET-A25G,0,6.08480015986735,Diploid
TCGA-ET-A25I,0,5.126425051596092,Diploid
TCGA-ET-A25K,0,5.064425092598715,Diploid
TCGA-ET-A25L,0,6.319029678706263,Diploid
TCGA-ET-A25M,0,5.797034216021177,Diploid
TCGA-ET-A25N,0,5.11817419410269,Diploid
TCGA-ET-A25O,0,5.572892655740016,Diploid
TCGA-ET-A25P,0,5.508129456536086,Diploid
TCGA-ET-A25R,0,5.77863882762661,Diploid
TCGA-ET-A2MX,0,6.090129375349011,Diploid
TCGA-ET-A2MY,0,6.040869571519941,Diploid
TCGA-ET-A2MZ,0,4.969364326262832,Diploid
TCGA-ET-A2N0,0,6.250196022461415,Diploid
TCGA-ET-A2N3,0,5.257271180772257,Diploid
TCGA-ET-A2N4,0,5.946088298221229,Diploid
TCGA-ET-A2N5,0,4.679387279376943,Diploid
TCGA-ET-A39I,0,5.3969495688654705,Diploid
TCGA-ET-A39J,0,5.607605127682215,Diploid
TCGA-ET-A39K,0,6.419748721982552,Diploid
TCGA-ET-A39L,0,5.012416667555296,Diploid
TCGA-ET-A39M,0,6.07302250685841,Diploid
TCGA-ET-A39N,-1,7.215479964236625,Shallow del
TCGA-ET-A39O,0,6.097439188656413,Diploid
TCGA-ET-A39P,1,6.493870891997787,Gain
TCGA-ET-A39R,0,5.569492243275243,Diploid
TCGA-ET-A39S,0,5.493491492031076,Diploid
TCGA-ET-A39T,0,5.55441810898663,Diploid
TCGA-ET-A3BN,0,5.534363185865671,Diploid
TCGA-ET-A3BO,0,5.801993450687735,Diploid
TCGA-ET-A3BP,0,6.613235608056576,Diploid
TCGA-ET-A3BQ,0,5.466148693069041,Diploid
TCGA-ET-A3BS,0,4.6065944761561575,Diploid
TCGA-ET-A3BT,1,6.080497716659876,Gain
TCGA-ET-A3BU,0,5.980144741929664,Diploid
TCGA-ET-A3BV,0,6.668353098136582,Diploid
TCGA-ET-A3BW,0,5.185905791941186,Diploid
TCGA-ET-A3BX,0,6.057110858256974,Diploid
TCGA-ET-A3DO,0,5.526822500800015,Diploid
TCGA-ET-A3DP,0,5.063619391972509,Diploid
TCGA-ET-A3DQ,0,5.854651754621296,Diploid
TCGA-ET-A3DR,0,5.4162969948089215,Diploid
TCGA-ET-A3DS,0,3.8298394670466807,Diploid
TCGA-ET-A3DU,0,5.633398712777903,Diploid
TCGA-ET-A3DV,0,4.771877647857701,Diploid
TCGA-ET-A3DW,0,5.952567300459998,Diploid
TCGA-ET-A40P,0,5.884992161939702,Diploid
TCGA-ET-A40Q,0,6.317185340938985,Diploid
TCGA-ET-A40R,0,5.5737569661841,Diploid
TCGA-ET-A40S,0,6.5993802960623675,Diploid
TCGA-ET-A40T,0,5.80713129371582,Diploid
TCGA-ET-A4KN,0,6.882481932118578,Diploid
TCGA-ET-A4KQ,0,5.076594682258017,Diploid
TCGA-FE-A22Z,0,5.524106142377945,Diploid
TCGA-FE-A230,0,4.102561646389022,Diploid
TCGA-FE-A231,1,6.394027481780155,Gain
TCGA-FE-A232,0,6.048926916753308,Diploid
TCGA-FE-A233,0,5.540477272464194,Diploid
TCGA-FE-A234,0,5.872780922173589,Diploid
TCGA-FE-A235,0,5.94194719527035,Diploid
TCGA-FE-A236,0,5.663542433060436,Diploid
TCGA-FE-A237,0,5.514562100138046,Diploid
TCGA-FE-A238,0,5.950155668073312,Diploid
TCGA-FE-A239,0,2.239509513561061,Diploid
TCGA-FE-A23A,0,5.946750771069848,Diploid
TCGA-FE-A3PA,0,6.296706650816212,Diploid
TCGA-FE-A3PB,0,6.219510330849795,Diploid
TCGA-FE-A3PC,0,5.822133053320052,Diploid
TCGA-FE-A3PD,0,5.410301890353786,Diploid
TCGA-FK-A3S3,0,5.262176325462966,Diploid
TCGA-FK-A3SB,0,5.271185629854005,Diploid
TCGA-FK-A3SD,0,5.808237298332876,Diploid
TCGA-FK-A3SE,0,5.434246855204766,Diploid
TCGA-FK-A3SG,0,5.664381133932619,Diploid
TCGA-FK-A3SH,0,7.074542867694978,Diploid
TCGA-FK-A4UB,0,6.413391034023484,Diploid
TCGA-FY-A2QD,0,4.024834072476656,Diploid
TCGA-FY-A3BL,0,5.640406000187278,Diploid
TCGA-FY-A3I4,0,6.106293131757601,Diploid
TCGA-FY-A3I5,-1,3.9798234074522942,Shallow del
TCGA-FY-A3NM,1,4.684769080215525,Gain
TCGA-FY-A3NN,0,5.354713421642137,Diploid
TCGA-FY-A3ON,0,6.310118111394882,Diploid
TCGA-FY-A3R6,0,5.699404867364601,Diploid
TCGA-FY-A3R7,0,5.6176196166848325,Diploid
TCGA-FY-A3R8,0,5.817136709183097,Diploid
TCGA-FY-A3R9,0,3.334429884199194,Diploid
TCGA-FY-A3RA,0,5.725004009920711,Diploid
TCGA-FY-A3TY,0,5.470464794584544,Diploid
TCGA-FY-A3W9,0,4.3732468911323465,Diploid
TCGA-FY-A3WA,0,3.4617912230670864,Diploid
