Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,nlogq
GO_Biological_Process_2021,"DNA damage response, signal transduction resulting in transcription",2/11,0.0112792483218166,0.1587512114548225,0,0,14.683818046234151,65.85385022173678,MUC1;RPS27L,0.7992829518555962
GO_Biological_Process_2021,lipoprotein catabolic process,2/11,0.0112792483218166,0.1587512114548225,0,0,14.683818046234151,65.85385022173678,LYPLA2;CTSD,0.7992829518555962
GO_Biological_Process_2021,positive regulation of keratinocyte proliferation,2/11,0.0112792483218166,0.1587512114548225,0,0,14.683818046234151,65.85385022173678,CDH3;MDK,0.7992829518555962
GO_Biological_Process_2021,positive regulation of triglyceride biosynthetic process,2/11,0.0112792483218166,0.1587512114548225,0,0,14.683818046234151,65.85385022173678,CTDNEP1;SREBF1,0.7992829518555962
GO_Biological_Process_2021,negative regulation of protein kinase activity,5/90,0.011454339552636,0.1590130623173246,0,0,3.911266201395813,17.480960829943964,PYCARD;CDKN1A;MVP;DVL1;SFN,0.7985671985768736
GO_Biological_Process_2021,positive regulation of programmed cell death,10/286,0.0114664774523627,0.1590130623173246,0,0,2.4267866066966515,10.843677342629752,PYCARD;RARG;TNFRSF12A;PIP5KL1;TNFRSF10B;BAX;PLEKHN1;BID;CTSD;NGEF,0.7985671985768736
GO_Biological_Process_2021,protein polymerization,4/59,0.0118324604371953,0.1628906597412433,0,0,4.826781326781327,21.41598777103087,GSN;GPX4;MICALL2;ANG,0.7881038177119593
GO_Biological_Process_2021,regulation of actin cytoskeleton organization,5/91,0.0119757812020234,0.1636690097609872,0,0,3.865589278675601,17.10472578609508,MDK;RHOG;TWF2;GRHL3;RHOC,0.7860335451690973
GO_Biological_Process_2021,positive regulation of cellular component biogenesis,5/92,0.0125131156014462,0.1697822735563139,0,0,3.8209624001558544,16.739551971791816,LGALS3;BAX;RHOC;PFN1;BID,0.7701076550729308
GO_Biological_Process_2021,regulation of dendritic cell differentiation,2/12,0.0134021306472713,0.1731261534298196,0,0,13.21476510067114,56.986581028585974,LGALS3;LGALS1,0.761637320152994
GO_Biological_Process_2021,regulation of hemopoiesis,2/12,0.0134021306472713,0.1731261534298196,0,0,13.21476510067114,56.986581028585974,LGALS3;RUNX1,0.761637320152994
GO_Biological_Process_2021,regulation of pseudopodium assembly,2/12,0.0134021306472713,0.1731261534298196,0,0,13.21476510067114,56.986581028585974,CDC42EP5;CDC42EP1,0.761637320152994
GO_Biological_Process_2021,macrophage chemotaxis,2/12,0.0134021306472713,0.1731261534298196,0,0,13.21476510067114,56.986581028585974,LGALS3;CKLF,0.761637320152994
GO_Biological_Process_2021,urogenital system development,2/12,0.0134021306472713,0.1731261534298196,0,0,13.21476510067114,56.986581028585974,ALOX15B;EPHB3,0.761637320152994
