sample,grp,celltype,PHLDA3,p53
PTC01,PTC,Malignant cell,0.9841748566676485,0.24572098432631784
PTC01,PTC,T cell,0.0,0.24751796772467585
PTC01,PTC,Malignant cell,0.0,0.2932834547224626
PTC01,PTC,Malignant cell,0.0,0.3264239499226804
PTC01,PTC,Malignant cell,0.0,0.23855498950347773
PTC01,PTC,Malignant cell,0.8323076259519872,0.47759467768353836
PTC01,PTC,Malignant cell,0.0,0.6998173920975107
PTC01,PTC,Endothelial cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.36537563211902213
PTC01,PTC,Malignant cell,1.0353105595576315,0.5163562394736254
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.5327907627329708,0.42684207452869444
PTC01,PTC,Malignant cell,0.0,0.22715480971956137
PTC01,PTC,Malignant cell,0.0,0.4245364938686344
PTC01,PTC,Myeloid cell,0.0,0.1663958903852999
PTC01,PTC,NK cell,0.0,0.12286525552033477
PTC01,PTC,Malignant cell,0.0,0.12948286046447469
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Malignant cell,0.7868462827711756,0.3762593619438852
PTC01,PTC,Malignant cell,1.3580244448345038,0.36350667546266835
PTC01,PTC,Malignant cell,1.3911136475558394,0.43632961176462054
PTC01,PTC,Malignant cell,0.0,0.06675802858701915
PTC01,PTC,Malignant cell,0.0,0.26313701866247047
PTC01,PTC,Malignant cell,0.0,0.4485351536320029
PTC01,PTC,Myeloid cell,0.0,0.14567102013865796
PTC01,PTC,Malignant cell,0.41568654570268265,0.473229414921748
PTC01,PTC,T cell,0.0,0.22606295282789363
PTC01,PTC,Fibroblast,1.0254209572737505,0.19843248401462268
PTC01,PTC,Myeloid cell,0.0,0.17254222142657857
PTC01,PTC,Malignant cell,0.0,0.3953949056490236
PTC01,PTC,Malignant cell,0.9391768585002497,0.4081362688524637
PTC01,PTC,NK cell,0.0,0.2526689516955837
PTC01,PTC,Malignant cell,0.9593681105822702,0.4532585773675987
PTC01,PTC,Myeloid cell,0.0,0.19415531337752231
PTC01,PTC,Myeloid cell,1.1954999430259978,0.3217860849384755
PTC01,PTC,Malignant cell,0.0,0.3686337001555675
PTC01,PTC,Myeloid cell,0.0,0.3021919650105386
PTC01,PTC,Malignant cell,0.9118290700794716,0.27075917024161145
PTC01,PTC,Malignant cell,1.2973468751033945,0.3238369107425734
PTC01,PTC,Malignant cell,0.0,0.2891131259451284
PTC01,PTC,Endothelial cell,1.0194944229027,0.11327715810030001
